見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
喜の国いきいき健康長寿祭,,(3)シルバー囲碁・将棋・健康マージャン交流大会、種目：[1]囲碁[2]将棋[3]健康マージャン,今年9月の「全国健康福祉祭あきた大会」出場選手選考を兼ねて実施,[1]4月18日(火)[2]19日(水)[3]5月23日(火),和歌山ビッグ愛(和歌山市),県内在住で昭和33年4月1日以前生まれのアマチュアの方（前年の全国健康福祉祭ながさき大会に参加した選手は、同一種目での参加は不可）,[1][2]各64人[3]60人(先着順),,郵送、ファックスで所定の申込書（問合先で配布）を[1][2]4月3日[3]5月1日までに問合先,県社会福祉協議会いきいき長寿社会センター、〒640-8545和歌山市手平2-1-2和歌山ビッグ愛7階、電話073-435-5214　ファックス073-435-5221,,,,,http://www.wakayamakenshakyo.or.jp/,,,
いきいきシニアリーダーカレッジ受講生,高齢者への日常的な支え合い活動など、地域活動をリードする人材を養成,,,5月～平成30年2月（月1・2回）,(1)和歌山市(2)田辺市(3)橋本市,おおむね60歳以上の方など,(1)70人(2)90人(3)80人(抽選),"(1)2,000円(2)(3)1,000円（受講料）",,,"申込方法など詳しくは各問合先へ(1)県社会福祉協議会　電話073-435-5214(2)田辺市社会福祉協議会　電話0739-24-8329(3)橋本市社会福祉協議会　電話0736-33-0294",,,,http://www.wakayamakenshakyo.or.jp/,,,
国民文化祭キックオフイベント,平成33年度の国民文化祭開催の機運を高めるため、基調講演や文化団体によるステージイベントなどを実施,,,3月18日(土)13:30～16:00,県民文化会館（和歌山市）,,"1,200人(先着順)",,,,郵送、ファックス、Eメールで住所、氏名、電話番号を3月13日までに県庁文化学術課、ファックス073-436-7767※手話通訳有り,,,,,,e0221001@pref.wakayama.lg.jp ,
生石高原山焼き,県立自然公園の生石高原で春の風物詩となる山焼きを実施。ススキ草原を焼くことで芽出しを早め、純粋なススキ草原の再生に役立っています。,,,"3月12日（日）8:30～12:30※悪天候の場合は19日（日）に延期",生石高原（紀美野町・有田川町）,,,,,"紀美野町産業課、電話073-489-2430",,,,,,,,
県立橋本体育館からのお知らせ,各教室無料体験会を実施,,,"(1)ヨガマルシェ 3月23日（木）9:45～10:45(2)カキラ 3月23日（木）11:00～12:00(3)ベリーダンス 4月1日（土）14:00～15:15",,18歳以上[(3)は女性のみ],各30人(先着順),,,,"来所、電話で県立橋本体育館 橋本市北馬場455、電話0736-32-9660※一時保育有り（有料）",,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
食の安全シンポジウム,テーマ：知ろう、学ぼう、食物アレルギー,,,3月16日（木）14:00～16:30 ,プラザホープ（和歌山市）,,120人(先着順),,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を3月14日までに県庁食品・生活衛生課、ファックス073-432-1952,,,,http://www.pref.wakayama.lg.jp/prefg/031600/communication/,,e0316001@pref.wakayama.lg.jp,
世界自閉症啓発デー・発達障害啓発週間記念講演会,テーマ：自閉症・発達障害者の就労関係について,講師：梅永雄二氏（早稲田大学教育・総合科学学術院教授）,,4月9日(日)13:30～15:45,プラザホープ（和歌山市）,,250人(先着順),,ファックス、Eメールで住所、氏名、電話番号、所属を県自閉症協会、ファックス　0739-25-3823,県庁障害福祉課,,,,,http://www.pref.wakayama.lg.jp/prefg/040400/,,ohkubo@vm.aikis.or.jp,
紀北青少年の家,〒649-7112　かつらぎ町中飯降1317-3　電話0736-22-5530　ファックス0736-22-5531,紀北の湯（春）,仲間たちと食事や入浴、歌などで楽しく過ごす,4月11日(火)10:00～15:00,,,40人 (抽選),"1,000円（食事込）",3月31日まで※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,http://www.kihokuseisyounen.com/,,,
白崎青少年の家,〒649-1123 由良町大引961-1　電話0738-65-2351　ファックス0738-65-2352,家族でリフレッシュin 白崎,野外炊飯、星空観察、ピザ作り、陶芸体験など,5月3日(祝)～5日(祝)2泊3日,,,15家族60人(先着順),"4,500円～6,140円",4月19日まで※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,http://shirasaki.pya.jp/,,,
白崎青少年の家,〒649-1123 由良町大引961-1　電話0738-65-2351　ファックス0738-65-2352,恐竜化石を探そう,白木海岸で化石採集、レプリカ作り,5月14日(日)9:30～15:30,,,10家族40人(先着順),"1,000円/人＋1,500円/家族",4月30日まで※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,http://shirasaki.pya.jp/,,,
潮岬青少年の家,〒649-3502　串本町潮岬669　電話0735-62-6045　ファックス0735-62-0182,日帰り！おもしろ岩探検隊！,自然とのふれあいを求めて山菜採りなどを行う,3月26日(日)9:00～14:00,,小学4年生以上,20人(先着順),"小・中・高校生1,500円、一般2,000円（昼食代など）",3月1～10日※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,http://omoshiro-yh.com/,,,
潮岬青少年の家,〒649-3502　串本町潮岬669　電話0735-62-6045　ファックス0735-62-0182,ファミリーキャンプ,,4月29日（祝）～30日（日）1泊2日,,,10家族 (先着順),"18歳以下4,140円、19歳以上4,400円",3月14日～4月12日※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,http://omoshiro-yh.com/,,,
県職員採用試験総合案内,平成29年度の試験日程や受験資格などを掲載,,,,,,,,,県人事委員会事務局　電話073-441-3763,,平成29年度の試験日程や受験資格などを掲載,,,http://www.pref.wakayama.lg.jp/prefg/210100/saiyou.html,,,
県警察官A採用,※場所・試験区分・採用予定人数は試験案内（申込書）をご覧ください,,,5月14日（日）,,,,,,,3月1日～4月7日に県警察本部警務課　電話073-423-0110,,昭和60年4月2日以降に生まれた方で、大学（短期大学を除く）の卒業者または平成30年3月末日までに卒業見込みの方（一部試験区分は別に資格要件あり）,県警察本部警務課、警察署、県人事委員会事務局、県パスポートセンターなど,,,,
